epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,837.799,0.96942,0.81579,0.86693,0.35231,0.30694,0.39163,0.20936,1.79583,3.35793,0.99306,0.000957358,0.000957358,0.000957358
88,846.905,0.84486,0.73726,0.87047,0.29204,0.25,0.32828,0.17224,1.91138,3.25742,1.01356,0.000949106,0.000949106,0.000949106
89,855.979,0.92255,0.78828,0.86683,0.31348,0.25,0.295,0.15357,1.93929,3.41206,1.02057,0.000940855,0.000940855,0.000940855
90,864.988,0.83449,0.75631,0.88528,0.16894,0.125,0.22771,0.13595,1.73597,3.67271,0.99723,0.000932603,0.000932603,0.000932603
91,874.12,0.90736,0.7398,0.89096,0.09103,0.25,0.21612,0.12174,1.68347,3.87353,0.97733,0.000924352,0.000924352,0.000924352
92,883.195,0.96811,0.78866,0.88503,0.06713,1,0.2415,0.12705,1.79348,3.95075,0.96557,0.0009161,0.0009161,0.0009161
93,892.337,0.9396,0.80067,0.88229,0.07692,1,0.225,0.12746,1.81148,4.0096,0.94636,0.000907848,0.000907848,0.000907848
94,901.343,0.88127,0.76658,0.81793,0.08295,1,0.21012,0.12292,1.70162,4.01995,0.93202,0.000899597,0.000899597,0.000899597
95,910.461,0.95881,0.77392,0.88782,0.08143,1,0.19611,0.10954,1.614,4.16485,0.92878,0.000891345,0.000891345,0.000891345
96,919.476,0.97823,0.73475,0.84629,0.07886,1,0.19742,0.10057,1.64996,4.30398,0.92744,0.000883093,0.000883093,0.000883093
97,929.637,1.0541,0.73625,0.87796,0.08333,1,0.16409,0.08737,1.61378,4.27441,0.92953,0.000874842,0.000874842,0.000874842
98,940.96,0.96113,0.79172,0.8764,0.07798,1,0.14401,0.07835,1.63226,4.31772,0.9394,0.00086659,0.00086659,0.00086659
99,951.08,0.94742,0.70066,0.87722,0.07186,1,0.13661,0.06291,1.66691,4.29462,0.94746,0.000858338,0.000858338,0.000858338
100,961.173,1.0412,0.7392,0.86038,0.07566,1,0.13087,0.06347,1.61799,4.33614,0.92478,0.000850087,0.000850087,0.000850087
101,973.014,0.91786,0.72252,0.87837,0.09259,1,0.15533,0.07904,1.58408,4.33559,0.91766,0.000841835,0.000841835,0.000841835
102,984.726,0.82869,0.73742,0.82694,0.10174,1,0.20729,0.10332,1.60691,4.22535,0.92785,0.000833583,0.000833583,0.000833583
103,996.229,0.87444,0.6858,0.82861,0.10632,1,0.25271,0.12525,1.65567,4.07401,0.93447,0.000825332,0.000825332,0.000825332
104,1007.56,0.80377,0.67366,0.83743,0.27283,0.15925,0.32134,0.15421,1.76761,4.03959,0.94523,0.00081708,0.00081708,0.00081708
105,1018.79,0.83614,0.68954,0.82929,0.31291,0.21937,0.39163,0.1874,1.81692,4.09473,0.955,0.000808828,0.000808828,0.000808828
106,1030.01,0.95385,0.68911,0.89777,0.34703,0.2911,0.45328,0.2235,1.80607,4.09683,0.9564,0.000800577,0.000800577,0.000800577
107,1041.61,0.83881,0.69885,0.8709,0.13571,1,0.44775,0.2088,1.74628,3.97946,0.94071,0.000792325,0.000792325,0.000792325
108,1053.38,0.96281,0.71636,0.84123,0.19551,1,0.45328,0.21381,1.73646,3.98238,0.9483,0.000784073,0.000784073,0.000784073
109,1065.06,0.87853,0.67335,0.8467,0.1993,1,0.40608,0.20616,1.7563,3.9325,0.95825,0.000775822,0.000775822,0.000775822
110,1074.64,0.92548,0.76754,0.92266,0.16111,1,0.46019,0.19231,1.8196,3.80629,0.97235,0.00076757,0.00076757,0.00076757
111,1083.57,0.83575,0.63784,0.86312,0.1369,1,0.46019,0.21041,1.73347,3.60476,0.97239,0.000759318,0.000759318,0.000759318
112,1092.54,0.84695,0.70342,0.89174,0.31885,0.44569,0.38142,0.18882,1.68475,3.32174,0.98767,0.000751067,0.000751067,0.000751067
113,1101.78,0.743,0.73003,0.85204,0.25327,0.25817,0.39385,0.20833,1.75005,2.92347,1.00823,0.000742815,0.000742815,0.000742815
114,1111.05,0.91361,0.70364,0.84312,0.36792,0.35376,0.39715,0.21507,1.74756,2.66068,0.98961,0.000734564,0.000734564,0.000734564
115,1120.19,1.17589,0.88153,0.99866,0.37113,0.36338,0.39712,0.21649,1.65152,2.64547,0.9615,0.000726312,0.000726312,0.000726312
116,1129.59,0.80572,0.65982,0.82622,0.37096,0.36289,0.41295,0.22883,1.61564,2.66737,0.951,0.00071806,0.00071806,0.00071806
117,1138.68,1.09515,0.77811,0.89134,0.32267,0.25,0.36469,0.19339,1.6628,2.89728,0.95236,0.000709809,0.000709809,0.000709809
118,1147.83,0.92756,0.72902,0.87125,0.32849,0.25,0.34528,0.17491,1.72946,3.23393,0.9486,0.000701557,0.000701557,0.000701557
119,1157.2,0.94038,0.70697,0.83818,0.34593,0.2878,0.46019,0.22738,1.73736,3.48147,0.93697,0.000693305,0.000693305,0.000693305
120,1166.43,0.85476,0.67922,0.88492,0.32933,0.244,0.45328,0.22442,1.71211,3.70857,0.934,0.000685054,0.000685054,0.000685054
121,1175.55,0.95218,0.66956,0.82274,0.3264,0.23959,0.46019,0.22659,1.74487,3.85669,0.91648,0.000676802,0.000676802,0.000676802
122,1184.49,0.76479,0.67152,0.82038,0.32483,0.23725,0.4249,0.2046,1.79872,4.06632,0.90316,0.00066855,0.00066855,0.00066855
123,1193.63,0.78438,0.65685,0.86207,0.3208,0.2312,0.36671,0.17692,1.83546,4.18563,0.90212,0.000660299,0.000660299,0.000660299
124,1202.77,0.89671,0.65705,0.85308,0.31484,0.22226,0.33975,0.16393,1.85289,4.23433,0.90243,0.000652047,0.000652047,0.000652047
125,1211.89,0.86721,0.67354,0.87054,0.09528,1,0.29014,0.15565,1.8386,4.2917,0.90598,0.000643795,0.000643795,0.000643795
126,1220.99,0.79105,0.62464,0.82241,0.13125,1,0.29014,0.14141,1.81862,4.31329,0.91707,0.000635544,0.000635544,0.000635544
127,1230.14,0.81148,0.6507,0.83234,0.11458,1,0.26653,0.13528,1.7475,4.22495,0.93007,0.000627292,0.000627292,0.000627292
128,1239.24,0.71888,0.61935,0.83798,0.1087,1,0.236,0.12773,1.65602,4.14779,0.92791,0.00061904,0.00061904,0.00061904
129,1248.36,0.79588,0.63126,0.85923,0.1042,1,0.20921,0.11615,1.61263,4.18595,0.91907,0.000610789,0.000610789,0.000610789
130,1257.37,0.69006,0.57925,0.83455,0.09563,1,0.21981,0.13592,1.58956,4.25706,0.91932,0.000602537,0.000602537,0.000602537
131,1266.36,0.87364,0.62834,0.83288,0.16024,0.66511,0.21382,0.13157,1.60817,4.25429,0.92904,0.000594286,0.000594286,0.000594286
132,1275.39,0.75773,0.57557,0.85301,0.23983,0.11992,0.20609,0.12603,1.60864,4.18353,0.93921,0.000586034,0.000586034,0.000586034
133,1284.48,0.81903,0.60894,0.82747,0.19925,0.125,0.24384,0.15434,1.58277,4.10035,0.94708,0.000577782,0.000577782,0.000577782
134,1293.46,0.86923,0.64926,0.85271,0.29067,0.186,0.2941,0.18644,1.54392,3.92148,0.94483,0.000569531,0.000569531,0.000569531
135,1302.53,0.88565,0.62926,0.89952,0.28956,0.25,0.30899,0.18278,1.5753,3.77674,0.93538,0.000561279,0.000561279,0.000561279
